vendor_name,is_anomaly,anomaly_type,severity,expired_certifications,explanation
Acme Cloud Storage,false,,,,
BlueShield Analytics,false,,,,
ClearPath Networks,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,ClearPath Networks has expired certification(s).
DataVault Systems,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,DataVault Systems has expired certification(s) and accesses sensitive data.
EdgeSecure Ltd,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,EdgeSecure Ltd has expired certification(s) and accesses sensitive data.
FortKnox Payments,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,FortKnox Payments has expired certification(s) and accesses sensitive data.
GlobalMesh MSS,false,,,,
HealthBridge IT,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,HealthBridge IT has expired certification(s).
IntelliGuard Software,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,IntelliGuard Software had a security breach within the last 12 months.
JetStream Infrastructure,false,,,,
KeyLock Security,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,KeyLock Security had a breach within 12 months and has sensitive data access.
LibertyData Corp,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE1,LibertyData Corp has expired certification(s).
MegaScale Hosting,false,,,,
NetSafe Solutions,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,NetSafe Solutions has expired certification(s).
OmniCloud Services,false,,,,
PrecisionPay Ltd,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,PrecisionPay Ltd had a breach within 12 months and has sensitive data access.
QuantumRisk Analytics,false,,,,
RapidDeploy Systems,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,RapidDeploy Systems had a security breach within the last 12 months.
SecureHarbor Inc,false,,,,
TrustFrame Technologies,true,EXPIRED_CERTIFICATION,MEDIUM,"SOC2_TYPE1,HIPAA,PCI_DSS",TrustFrame Technologies has expired certification(s).
UltraSecure MSS,false,,,,
VaultMaster Corp,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,VaultMaster Corp has expired certification(s).
WebArmor Ltd,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE1,WebArmor Ltd has expired certification(s).
XcelData Solutions,false,,,,
YieldSecure Analytics,false,,,,
ZenCloud Systems,true,EXPIRED_CERTIFICATION,HIGH,ISO_27001,ZenCloud Systems has expired certification(s) and accesses sensitive data.
Acme Cloud Storage 2,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,Acme Cloud Storage 2 had a security breach within the last 12 months.
BlueShield Analytics 2,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,BlueShield Analytics 2 has expired certification(s).
ClearPath Networks 2,false,,,,
DataVault Systems 2,false,,,,
EdgeSecure Ltd 2,false,,,,
FortKnox Payments 2,true,RECENTLY_BREACHED_VENDOR,MEDIUM,HIPAA,FortKnox Payments 2 had a security breach within the last 12 months.
GlobalMesh MSS 2,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,"PCI_DSS,ISO_27001",GlobalMesh MSS 2 had a breach within 12 months and has sensitive data access.
HealthBridge IT 2,false,,,,
IntelliGuard Software 2,false,,,,
JetStream Infrastructure 2,true,RECENTLY_BREACHED_VENDOR,MEDIUM,HIPAA,JetStream Infrastructure 2 had a security breach within the last 12 months.
KeyLock Security 2,false,,,,
LibertyData Corp 2,false,,,,
MegaScale Hosting 2,false,,,,
NetSafe Solutions 2,false,,,,
OmniCloud Services 2,true,EXPIRED_CERTIFICATION,MEDIUM,"ISO_27001,HIPAA",OmniCloud Services 2 has expired certification(s).
PrecisionPay Ltd 2,false,,,,
QuantumRisk Analytics 2,false,,,,
RapidDeploy Systems 2,false,,,,
SecureHarbor Inc 2,true,RECENTLY_BREACHED_VENDOR,MEDIUM,HIPAA,SecureHarbor Inc 2 had a security breach within the last 12 months.
TrustFrame Technologies 2,false,,,,
UltraSecure MSS 2,false,,,,
VaultMaster Corp 2,false,,,,
WebArmor Ltd 2,false,,,,
XcelData Solutions 2,false,,,,
YieldSecure Analytics 2,false,,,,
ZenCloud Systems 2,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE1,ZenCloud Systems 2 has expired certification(s).
Acme Cloud Storage 3,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2_TYPE1,Acme Cloud Storage 3 had a breach within 12 months and has sensitive data access.
BlueShield Analytics 3,false,,,,
ClearPath Networks 3,false,,,,
DataVault Systems 3,true,EXPIRED_CERTIFICATION,HIGH,ISO_27001,DataVault Systems 3 has expired certification(s) and accesses sensitive data.
EdgeSecure Ltd 3,false,,,,
FortKnox Payments 3,false,,,,
GlobalMesh MSS 3,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,GlobalMesh MSS 3 had a security breach within the last 12 months.
HealthBridge IT 3,false,,,,
IntelliGuard Software 3,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2,IntelliGuard Software 3 has expired certification(s).
JetStream Infrastructure 3,false,,,,
KeyLock Security 3,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,KeyLock Security 3 has expired certification(s) and accesses sensitive data.
LibertyData Corp 3,false,,,,
MegaScale Hosting 3,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,MegaScale Hosting 3 had a breach within 12 months and has sensitive data access.
NetSafe Solutions 3,false,,,,
OmniCloud Services 3,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,OmniCloud Services 3 has expired certification(s).
PrecisionPay Ltd 3,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,PrecisionPay Ltd 3 has expired certification(s) and accesses sensitive data.
QuantumRisk Analytics 3,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,QuantumRisk Analytics 3 has expired certification(s) and accesses sensitive data.
RapidDeploy Systems 3,false,,,,
SecureHarbor Inc 3,false,,,,
TrustFrame Technologies 3,false,,,,
UltraSecure MSS 3,false,,,,
VaultMaster Corp 3,false,,,,
WebArmor Ltd 3,true,EXPIRED_CERTIFICATION,MEDIUM,"PCI_DSS,SOC2_TYPE1",WebArmor Ltd 3 has expired certification(s).
XcelData Solutions 3,false,,,,
YieldSecure Analytics 3,false,,,,
ZenCloud Systems 3,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,ISO_27001,ZenCloud Systems 3 had a breach within 12 months and has sensitive data access.
Acme Cloud Storage 4,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,Acme Cloud Storage 4 has expired certification(s).
BlueShield Analytics 4,false,,,,
ClearPath Networks 4,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE2,ClearPath Networks 4 has expired certification(s) and accesses sensitive data.
DataVault Systems 4,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2_TYPE2,DataVault Systems 4 had a breach within 12 months and has sensitive data access.
EdgeSecure Ltd 4,false,,,,
FortKnox Payments 4,false,,,,
GlobalMesh MSS 4,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,GlobalMesh MSS 4 has expired certification(s).
HealthBridge IT 4,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,HealthBridge IT 4 had a security breach within the last 12 months.
IntelliGuard Software 4,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,HIPAA,IntelliGuard Software 4 had a breach within 12 months and has sensitive data access.
JetStream Infrastructure 4,true,VENDOR_UNDER_INVESTIGATION,CRITICAL,ISO_27001,JetStream Infrastructure 4 is currently under regulatory investigation.
KeyLock Security 4,false,,,,
LibertyData Corp 4,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,LibertyData Corp 4 had a security breach within the last 12 months.
MegaScale Hosting 4,false,,,,
NetSafe Solutions 4,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,NetSafe Solutions 4 has expired certification(s).
OmniCloud Services 4,false,,,,
PrecisionPay Ltd 4,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2_TYPE1,PrecisionPay Ltd 4 had a breach within 12 months and has sensitive data access.
QuantumRisk Analytics 4,false,,,,
RapidDeploy Systems 4,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2,RapidDeploy Systems 4 has expired certification(s).
SecureHarbor Inc 4,false,,,,
TrustFrame Technologies 4,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,TrustFrame Technologies 4 has expired certification(s).
UltraSecure MSS 4,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,UltraSecure MSS 4 has expired certification(s) and accesses sensitive data.
VaultMaster Corp 4,true,EXPIRED_CERTIFICATION,MEDIUM,"HIPAA,ISO_27001",VaultMaster Corp 4 has expired certification(s).
WebArmor Ltd 4,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,PCI_DSS,WebArmor Ltd 4 had a breach within 12 months and has sensitive data access.
XcelData Solutions 4,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,XcelData Solutions 4 had a breach within 12 months and has sensitive data access.
YieldSecure Analytics 4,false,,,,
ZenCloud Systems 4,false,,,,
Acme Cloud Storage 5,false,,,,
BlueShield Analytics 5,true,RECENTLY_BREACHED_VENDOR,MEDIUM,"HIPAA,ISO_27001",BlueShield Analytics 5 had a security breach within the last 12 months.
ClearPath Networks 5,false,,,,
DataVault Systems 5,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,DataVault Systems 5 has expired certification(s) and accesses sensitive data.
EdgeSecure Ltd 5,false,,,,
FortKnox Payments 5,false,,,,
GlobalMesh MSS 5,false,,,,
HealthBridge IT 5,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,HealthBridge IT 5 had a breach within 12 months and has sensitive data access.
IntelliGuard Software 5,true,RECENTLY_BREACHED_VENDOR,MEDIUM,PCI_DSS,IntelliGuard Software 5 had a security breach within the last 12 months.
JetStream Infrastructure 5,false,,,,
KeyLock Security 5,false,,,,
LibertyData Corp 5,false,,,,
MegaScale Hosting 5,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,MegaScale Hosting 5 has expired certification(s).
NetSafe Solutions 5,false,,,,
OmniCloud Services 5,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,OmniCloud Services 5 has expired certification(s) and accesses sensitive data.
PrecisionPay Ltd 5,false,,,,
QuantumRisk Analytics 5,false,,,,
RapidDeploy Systems 5,false,,,,
SecureHarbor Inc 5,false,,,,
TrustFrame Technologies 5,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,TrustFrame Technologies 5 has expired certification(s).
UltraSecure MSS 5,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,UltraSecure MSS 5 had a breach within 12 months and has sensitive data access.
VaultMaster Corp 5,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,VaultMaster Corp 5 had a breach within 12 months and has sensitive data access.
WebArmor Ltd 5,false,,,,
XcelData Solutions 5,false,,,,
YieldSecure Analytics 5,false,,,,
ZenCloud Systems 5,false,,,,
Acme Cloud Storage 6,false,,,,
BlueShield Analytics 6,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,BlueShield Analytics 6 has expired certification(s).
ClearPath Networks 6,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE1,ClearPath Networks 6 has expired certification(s).
DataVault Systems 6,false,,,,
EdgeSecure Ltd 6,false,,,,
FortKnox Payments 6,false,,,,
GlobalMesh MSS 6,false,,,,
HealthBridge IT 6,false,,,,
IntelliGuard Software 6,true,EXPIRED_CERTIFICATION,MEDIUM,"SOC2_TYPE1,ISO_27001",IntelliGuard Software 6 has expired certification(s).
JetStream Infrastructure 6,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,JetStream Infrastructure 6 had a breach within 12 months and has sensitive data access.
KeyLock Security 6,true,RECENTLY_BREACHED_VENDOR,MEDIUM,"PCI_DSS,SOC2_TYPE1",KeyLock Security 6 had a security breach within the last 12 months.
LibertyData Corp 6,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,LibertyData Corp 6 had a breach within 12 months and has sensitive data access.
MegaScale Hosting 6,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,MegaScale Hosting 6 has expired certification(s) and accesses sensitive data.
NetSafe Solutions 6,false,,,,
OmniCloud Services 6,false,,,,
PrecisionPay Ltd 6,false,,,,
QuantumRisk Analytics 6,true,RECENTLY_BREACHED_VENDOR,MEDIUM,SOC2_TYPE1,QuantumRisk Analytics 6 had a security breach within the last 12 months.
RapidDeploy Systems 6,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,PCI_DSS,RapidDeploy Systems 6 had a breach within 12 months and has sensitive data access.
SecureHarbor Inc 6,true,EXPIRED_CERTIFICATION,MEDIUM,"PCI_DSS,SOC2_TYPE2,ISO_27001",SecureHarbor Inc 6 has expired certification(s).
TrustFrame Technologies 6,false,,,,
UltraSecure MSS 6,true,EXPIRED_CERTIFICATION,HIGH,ISO_27001,UltraSecure MSS 6 has expired certification(s) and accesses sensitive data.
VaultMaster Corp 6,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE2,VaultMaster Corp 6 has expired certification(s) and accesses sensitive data.
WebArmor Ltd 6,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,WebArmor Ltd 6 has expired certification(s) and accesses sensitive data.
XcelData Solutions 6,true,EXPIRED_CERTIFICATION,HIGH,"HIPAA,SOC2_TYPE1",XcelData Solutions 6 has expired certification(s) and accesses sensitive data.
YieldSecure Analytics 6,false,,,,
ZenCloud Systems 6,false,,,,
Acme Cloud Storage 7,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Acme Cloud Storage 7 had a breach within 12 months and has sensitive data access.
BlueShield Analytics 7,false,,,,
ClearPath Networks 7,false,,,,
DataVault Systems 7,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,DataVault Systems 7 had a security breach within the last 12 months.
EdgeSecure Ltd 7,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,EdgeSecure Ltd 7 has expired certification(s).
FortKnox Payments 7,true,VENDOR_UNDER_INVESTIGATION,CRITICAL,,FortKnox Payments 7 is currently under regulatory investigation.
GlobalMesh MSS 7,false,,,,
HealthBridge IT 7,false,,,,
IntelliGuard Software 7,false,,,,
JetStream Infrastructure 7,false,,,,
KeyLock Security 7,false,,,,
LibertyData Corp 7,false,,,,
MegaScale Hosting 7,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,MegaScale Hosting 7 had a breach within 12 months and has sensitive data access.
NetSafe Solutions 7,true,EXPIRED_CERTIFICATION,HIGH,"ISO_27001,PCI_DSS",NetSafe Solutions 7 has expired certification(s) and accesses sensitive data.
OmniCloud Services 7,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,OmniCloud Services 7 has expired certification(s).
PrecisionPay Ltd 7,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,PrecisionPay Ltd 7 had a security breach within the last 12 months.
QuantumRisk Analytics 7,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,QuantumRisk Analytics 7 had a breach within 12 months and has sensitive data access.
RapidDeploy Systems 7,false,,,,
SecureHarbor Inc 7,false,,,,
TrustFrame Technologies 7,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,TrustFrame Technologies 7 had a breach within 12 months and has sensitive data access.
UltraSecure MSS 7,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,UltraSecure MSS 7 has expired certification(s).
VaultMaster Corp 7,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,"ISO_27001,SOC2_TYPE2",VaultMaster Corp 7 had a breach within 12 months and has sensitive data access.
WebArmor Ltd 7,false,,,,
XcelData Solutions 7,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,XcelData Solutions 7 had a breach within 12 months and has sensitive data access.
YieldSecure Analytics 7,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE1,YieldSecure Analytics 7 has expired certification(s).
ZenCloud Systems 7,true,EXPIRED_CERTIFICATION,HIGH,"PCI_DSS,HIPAA",ZenCloud Systems 7 has expired certification(s) and accesses sensitive data.
Acme Cloud Storage 8,false,,,,
BlueShield Analytics 8,true,EXPIRED_CERTIFICATION,HIGH,"ISO_27001,HIPAA",BlueShield Analytics 8 has expired certification(s) and accesses sensitive data.
ClearPath Networks 8,false,,,,
DataVault Systems 8,false,,,,
EdgeSecure Ltd 8,false,,,,
FortKnox Payments 8,false,,,,
GlobalMesh MSS 8,false,,,,
HealthBridge IT 8,true,EXPIRED_CERTIFICATION,MEDIUM,"ISO_27001,HIPAA",HealthBridge IT 8 has expired certification(s).
IntelliGuard Software 8,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,IntelliGuard Software 8 had a breach within 12 months and has sensitive data access.
JetStream Infrastructure 8,false,,,,
KeyLock Security 8,true,EXPIRED_CERTIFICATION,MEDIUM,"ISO_27001,HIPAA",KeyLock Security 8 has expired certification(s).
LibertyData Corp 8,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,LibertyData Corp 8 has expired certification(s).
